scaffold,start,end,mid,sites,pi_Hti1,pi_Hti2,dxy_Hti1_Hti2,Fst_Hti1_Hti2
scaffold_1,2055925,2103971,2082193,25000,0.00113,0.00167,0.001357,-0.016819
scaffold_1,2103972,2145466,2127154,25000,0.001183,0.001889,0.001504,-0.010771
scaffold_1,2145467,2240247,2195662,25000,0.001051,0.001252,0.001123,-0.013065
scaffold_1,2240248,2280450,2259358,25000,0.001841,0.001236,0.001527,-0.032987
scaffold_1,2280451,2314332,2298405,25000,0.003407,0.002947,0.003256,0.013079
scaffold_1,2314333,2358069,2335562,25000,0.001792,0.001162,0.001576,0.034616
scaffold_1,2358070,2399592,2382112,25000,0.00117,0.002001,0.001638,0.017278
scaffold_1,2399593,2501597,2449787,25000,0.001054,0.001242,0.001055,-0.05747
scaffold_1,2501598,2547962,2516929,25000,0.00284,0.003171,0.002963,-0.00759
scaffold_1,2547963,2589363,2566534,25000,0.001072,0.001178,0.000996,-0.064913
scaffold_1,2589364,2638179,2606985,25000,0.002189,0.002184,0.002079,-0.027017
scaffold_1,2638180,2791534,2702506,25000,0.001775,0.001875,0.001674,-0.046115
scaffold_1,2791535,2843723,2811618,25000,0.001966,0.0029,0.002159,-0.061747
scaffold_1,2843724,2965194,2916871,25000,0.003433,0.00349,0.003556,0.014092
scaffold_1,2965195,3096715,3035102,25000,0.001013,0.001604,0.001236,-0.030636
scaffold_1,3096716,3355374,3221998,25000,0.002502,0.002196,0.002107,-0.053146
scaffold_1,3355375,3403016,3381300,25000,0.001146,0.000714,0.00084,-0.054201
scaffold_1,3403017,3444599,3421784,25000,0.001282,0.00173,0.001561,0.018962
scaffold_1,3444600,3486598,3458998,25000,0.002182,0.002055,0.002346,0.054217
scaffold_1,3486599,3568477,3545031,25000,0.002089,0.001911,0.001932,-0.017825
scaffold_1,3568478,3805845,3652869,25000,0.00566,0.004129,0.00484,-0.005965
scaffold_1,3805846,3879573,3828369,25000,0.002148,0.003269,0.003571,0.145118
scaffold_1,3879575,4061871,3993363,25000,0.003237,0.002564,0.003077,0.028771
scaffold_1,4061872,4187812,4106613,25000,0.002053,0.00291,0.006734,0.46142
scaffold_1,4187813,4324828,4259504,25000,0.004183,0.003449,0.003558,-0.037459
scaffold_1,4324830,4396316,4375240,25000,0.00444,0.003375,0.003931,0.003221
scaffold_1,4396317,4570468,4474055,25000,0.007594,0.00688,0.008914,0.109999
scaffold_1,4570469,4642841,4611497,25000,0.001907,0.00375,0.002502,-0.065609
scaffold_1,4642842,4817367,4742203,25000,0.006231,0.004554,0.005644,0.024292
scaffold_1,4817368,4969738,4909201,25000,0.007622,0.008272,0.007597,-0.024058
scaffold_1,4969739,5059087,5030601,25000,0.005658,0.004133,0.004967,0.007774
scaffold_1,5059088,5089444,5074321,25000,0.002855,0.003503,0.003123,-0.009474
scaffold_1,5089445,5172944,5125419,20152,0.003745,0.004173,0.004069,0.021876
scaffold_2,15653,86482,36743,25000,0.001772,0.001197,0.001722,0.0787
scaffold_2,86483,156405,125709,25000,0.003174,0.00399,0.003988,0.056978
scaffold_2,156406,223864,191664,25000,0.00401,0.002777,0.003826,0.063588
scaffold_2,223865,270993,237430,25000,0.001777,0.002409,0.001841,-0.068717
scaffold_2,270994,384558,324166,25000,0.001291,0.001092,0.001183,-0.00696
scaffold_2,384559,479059,450823,25000,0.001492,0.002353,0.002404,0.117884
scaffold_2,479060,612196,509419,25000,0.001827,0.002224,0.002323,0.072531
scaffold_2,612197,676771,639423,25000,0.003128,0.001874,0.002233,-0.060637
scaffold_2,676772,745447,704479,25000,0.004534,0.004203,0.004947,0.066012
scaffold_2,745449,835682,785439,25000,0.002756,0.002074,0.002462,0.010295
scaffold_2,835683,874935,852880,25000,0.002778,0.004172,0.003512,0.033081
scaffold_2,874936,1026230,945062,25000,0.002891,0.004493,0.003858,0.023355
scaffold_2,1026231,1133439,1077290,25000,0.008373,0.00668,0.007634,0.007558
scaffold_2,1133441,1223366,1173236,25000,0.00504,0.005761,0.005621,0.021295
scaffold_2,1223367,1280490,1252381,25000,0.003981,0.004625,0.004375,-0.001879
scaffold_2,1280491,1319526,1301094,25000,0.004178,0.006352,0.005755,0.047239
scaffold_2,1319527,1395500,1350386,25000,0.001831,0.002432,0.00203,-0.025974
scaffold_2,1395501,1469091,1447955,25000,0.002231,0.00535,0.003696,-0.013577
scaffold_2,1469093,1518782,1491998,25000,0.001304,0.001886,0.001481,-0.03973
scaffold_2,1518783,1657866,1589537,25000,0.004818,0.006565,0.006613,0.079498
scaffold_2,1657867,1852729,1747440,25000,0.008198,0.00794,0.008104,0.002289
scaffold_2,1852730,1982234,1925832,25000,0.007674,0.006895,0.007668,0.027297
scaffold_2,1982235,2126471,2067437,25000,0.004588,0.006662,0.005994,0.033853
scaffold_2,2126472,2211952,2161291,25000,0.004431,0.006677,0.007983,0.189099
scaffold_2,2211953,2271418,2241360,25000,0.004916,0.003455,0.004366,0.017493
scaffold_2,2271419,2322712,2300143,25000,0.007072,0.006487,0.007029,0.01924
scaffold_2,2322713,2644758,2427097,25000,0.00661,0.005498,0.008114,0.153655
scaffold_2,2644759,2780307,2673665,25000,0.009805,0.009723,0.008543,-0.071492
scaffold_2,2780308,2879392,2801382,25000,0.004761,0.005567,0.006154,0.092778
scaffold_2,2879393,2937487,2906615,25000,0.005649,0.007492,0.007302,0.05605
scaffold_2,2937489,3048422,3007538,25000,0.007561,0.008531,0.007469,-0.039788
scaffold_2,3048423,3099959,3069683,25000,0.005007,0.005914,0.005813,0.033252
scaffold_2,3099960,3161680,3126464,25000,0.006109,0.005553,0.006731,0.079808
scaffold_2,3161681,3218083,3187098,25000,0.011423,0.008643,0.009849,-0.009864
scaffold_2,3218084,3368410,3293728,25000,0.008981,0.0077,0.00802,-0.020938
scaffold_2,3368411,3413136,3396489,25000,0.00177,0.001831,0.001639,-0.05013
scaffold_2,3413138,3474993,3447867,25000,0.001401,0.001348,0.00137,-0.001684
scaffold_2,3474994,3559918,3518812,25000,0.005514,0.005,0.005515,0.025465
scaffold_2,3559919,3760947,3679361,25000,0.005675,0.007134,0.007519,0.084911
scaffold_2,3760948,3961837,3886266,25000,0.003031,0.002203,0.00266,0.03038
scaffold_2,3961838,4461224,4122289,25000,0.012142,0.01273,0.011882,-0.024342
scaffold_2,4461225,4920766,4750474,25000,0.005445,0.005839,0.005632,-0.000981
scaffold_2,4920767,5041566,4954620,25000,0.00317,0.003226,0.003111,-0.014767
scaffold_3,19211,351308,226068,25000,0.0085,0.008297,0.007503,-0.060254
scaffold_3,351309,508220,396901,25000,0.002746,0.002815,0.003457,0.114802
scaffold_3,508221,723098,629665,25000,0.007657,0.011314,0.012212,0.132923
scaffold_3,723099,886416,824302,25000,0.004877,0.004602,0.004568,-0.019695
scaffold_3,886417,1484648,1045910,25000,0.009274,0.008738,0.007964,-0.065776
scaffold_3,1484649,1844030,1630905,25000,0.006029,0.006753,0.007062,0.052994
scaffold_3,1844031,2030816,1987011,25000,0.004307,0.004115,0.003692,-0.070275
scaffold_3,2030817,2101008,2056358,25000,0.005052,0.004488,0.004604,-0.018947
scaffold_3,2101009,2353410,2178684,25000,0.004994,0.00443,0.004399,-0.036696
scaffold_3,2353411,2405711,2366270,25000,0.001323,0.001859,0.001455,-0.047659
scaffold_3,2405712,2453167,2432659,25000,0.002323,0.009682,0.007059,0.085796
scaffold_3,2453168,2491349,2470473,25000,0.00133,0.005295,0.004943,0.148361
scaffold_3,2491350,2571240,2540647,25000,0.003233,0.00421,0.00523,0.163193
scaffold_3,2571241,2701763,2652698,25000,0.009009,0.009173,0.008087,-0.062572
scaffold_3,2701764,2775442,2728122,25000,0.002886,0.003155,0.002634,-0.073403
scaffold_3,2775443,2872121,2832653,25000,0.001858,0.001692,0.001581,-0.061676
scaffold_3,2872122,2904997,2887518,25000,0.005244,0.005235,0.004584,-0.071424
scaffold_3,2904998,3017900,2953972,25000,0.007781,0.008471,0.007385,-0.051159
scaffold_3,3017901,3146671,3094359,25000,0.008564,0.010457,0.008406,-0.066067
scaffold_3,3146673,3185135,3165864,25000,0.001626,0.002171,0.003032,0.227568
scaffold_3,3185136,3233361,3212697,25000,0.000846,0.000772,0.000719,-0.063027
scaffold_3,3233362,3348249,3305831,25000,0.000953,0.001014,0.000908,-0.04305
scaffold_3,3348250,3387183,3372819,25000,0.000733,0.000612,0.000588,-0.071747
scaffold_3,3387184,3446984,3404725,25000,0.001242,0.001135,0.001071,-0.055727
scaffold_3,3446986,3479813,3465278,25000,0.002418,0.002202,0.002017,-0.072485
scaffold_3,3479814,3590139,3505100,25000,0.005819,0.005651,0.005018,-0.071476
scaffold_3,3590140,3677260,3637436,25000,0.008059,0.006449,0.007853,0.04218
scaffold_3,3677261,3713045,3693418,25000,0.005057,0.009447,0.009797,0.15762
scaffold_3,3713046,3783695,3738588,25000,0.003996,0.006444,0.004914,-0.03236
scaffold_3,3783696,3850371,3822904,25000,0.004013,0.004128,0.003597,-0.0662
scaffold_3,3850373,4113788,3992132,25000,0.002898,0.003142,0.003355,0.055843
scaffold_3,4113789,4189215,4160213,25000,0.001116,0.00212,0.002411,0.207212
scaffold_3,4189216,4296659,4245440,25000,0.003741,0.004568,0.003817,-0.045271
scaffold_3,4296660,4381838,4329875,25000,0.005994,0.004257,0.006039,0.086832
scaffold_3,4381839,4562263,4487008,25000,0.007078,0.008189,0.007627,-0.00048
scaffold_3,4562264,4679026,4654666,25000,0.007667,0.008146,0.007386,-0.036412
scaffold_3,4679027,4893975,4757186,25000,0.003112,0.004856,0.005029,0.122811
scaffold_4,32109,147830,101094,25000,0.005651,0.005747,0.005279,-0.04095
scaffold_4,147831,411687,175916,25000,0.00504,0.005161,0.00484,-0.028042
scaffold_4,411691,1323047,1108544,25000,0.003637,0.003178,0.00311,-0.048878
scaffold_4,1323048,1466452,1404915,25000,0.005169,0.004105,0.004336,-0.035816
scaffold_4,1466453,2068291,1932302,25000,0.003912,0.004543,0.004919,0.080266
scaffold_4,2068292,2225555,2161935,25000,0.004595,0.00546,0.007245,0.190436
scaffold_4,2225557,2320853,2261447,25000,0.006916,0.004108,0.005311,-0.019765
scaffold_4,2320854,2390303,2354521,25000,0.002963,0.003401,0.002899,-0.049788
scaffold_4,2390304,2465759,2408941,25000,0.001651,0.001602,0.001417,-0.073894
scaffold_4,2465760,2505819,2485578,25000,0.001283,0.001559,0.001252,-0.067637
scaffold_4,2505820,2539486,2524277,25000,0.002004,0.002095,0.001869,-0.049149
scaffold_4,2539487,2625896,2576784,25000,0.002296,0.002652,0.002225,-0.056657
scaffold_4,2625897,2821920,2721400,25000,0.002245,0.002932,0.006174,0.41733
scaffold_4,2821921,2868725,2843666,25000,0.001139,0.001186,0.001032,-0.064988
scaffold_4,2868726,2944191,2911255,25000,0.002093,0.002165,0.001925,-0.055243
scaffold_4,2944192,3019517,2978439,25000,0.007136,0.00539,0.00578,-0.042881
scaffold_4,3019518,3051376,3036179,25000,0.002122,0.002705,0.002214,-0.046208
scaffold_4,3051377,3152227,3106198,25000,0.00409,0.003658,0.00385,-0.003314
scaffold_4,3152228,3298467,3244309,25000,0.001469,0.001842,0.001564,-0.030293
scaffold_4,3298468,3333867,3318041,25000,0.004726,0.002198,0.003734,0.040257
scaffold_4,3333868,3412224,3377362,25000,0.003602,0.001955,0.003431,0.111235
scaffold_4,3412225,3452323,3429846,25000,0.001445,0.001387,0.001541,0.043805
scaffold_4,3452324,3537148,3482678,25000,0.00184,0.001674,0.001549,-0.067384
scaffold_4,3537150,3580549,3559290,25000,0.000734,0.001263,0.001136,0.068688
scaffold_4,3580550,3716721,3656167,25000,0.001536,0.003061,0.003078,0.145026
scaffold_4,3716722,3888327,3778498,25000,0.001814,0.001781,0.001805,0.001943
scaffold_4,3888329,3955936,3908796,25000,0.000963,0.000925,0.000881,-0.037113
scaffold_4,3955938,4060645,4005376,25000,0.001734,0.001893,0.00187,0.016307
scaffold_4,4060646,4150902,4110215,25000,0.001254,0.001319,0.001482,0.075118
scaffold_4,4150903,4187601,4166110,23551,0.001477,0.00153,0.001383,-0.044662
scaffold_5,26718,114402,71376,25000,0.000815,0.00072,0.00067,-0.072927
scaffold_5,114403,185216,157806,25000,0.002439,0.001892,0.002117,-0.012112
scaffold_5,185217,295781,253199,25000,0.00152,0.001799,0.001468,-0.065597
scaffold_5,295782,451883,360746,25000,0.001288,0.001351,0.001229,-0.037932
scaffold_5,451884,606568,536236,25000,0.002576,0.002591,0.002694,0.022355
scaffold_5,606569,705361,668632,25000,0.001703,0.001318,0.001658,0.047105
scaffold_5,705362,798642,727646,25000,0.001254,0.002328,0.001709,-0.024801
scaffold_5,798643,872988,835302,25000,0.000645,0.000838,0.000802,0.058276
scaffold_5,872989,959545,907275,25000,0.001001,0.000994,0.000875,-0.069861
scaffold_5,959546,1163484,1037365,25000,0.00119,0.002306,0.001576,-0.053688
scaffold_5,1163485,1221830,1193113,25000,0.001216,0.001871,0.00194,0.120525
scaffold_5,1221831,1274018,1249356,25000,0.001715,0.001963,0.004647,0.449144
scaffold_5,1274019,1349935,1307812,25000,0.003665,0.001841,0.002827,0.014166
scaffold_5,1349936,1413567,1385466,25000,0.001266,0.001453,0.001208,-0.063339
scaffold_5,1413568,1479209,1435899,25000,0.0019,0.001252,0.001458,-0.041433
scaffold_5,1479210,1508445,1494185,25000,0.002942,0.002035,0.002932,0.084362
scaffold_5,1508446,1628443,1564995,25000,0.000674,0.000749,0.000637,-0.059077
scaffold_5,1628444,1684494,1653112,25000,0.001145,0.001113,0.001134,0.002234
scaffold_5,1684496,1786582,1710896,25000,0.001043,0.001248,0.002145,0.320981
scaffold_5,1786584,1848699,1808082,25000,0.002867,0.001788,0.004283,0.309482
scaffold_5,1848700,1918290,1888081,25000,0.006408,0.007625,0.007199,0.013638
scaffold_5,1918291,1985763,1957403,25000,0.004394,0.003715,0.004387,0.041932
scaffold_5,1985765,2079208,2020245,25000,0.003521,0.002835,0.003414,0.038121
scaffold_5,2079209,2158686,2125928,25000,0.002868,0.002079,0.003221,0.138903
scaffold_5,2158687,2205464,2181836,25000,0.004876,0.004348,0.005146,0.058204
scaffold_5,2205465,2369127,2308364,25000,0.00361,0.003238,0.003157,-0.043441
scaffold_5,2369128,2550006,2494326,25000,0.002977,0.003214,0.003655,0.087909
scaffold_5,2550007,2590898,2570375,25000,0.004225,0.002641,0.00465,0.158963
scaffold_5,2590899,2944569,2767731,25000,0.002664,0.002651,0.002758,0.0198
scaffold_5,2944570,2988134,2960792,25000,0.002429,0.002446,0.00304,0.116446
scaffold_5,2988135,3058630,3033023,25000,0.00356,0.003154,0.003696,0.051093
scaffold_5,3058631,3088868,3073914,25000,0.002468,0.002343,0.002185,-0.051472
scaffold_5,3088869,3243688,3134430,25000,0.003798,0.004681,0.004307,0.008402
scaffold_5,3243689,3289861,3269022,25000,0.001689,0.001725,0.001492,-0.072129
scaffold_5,3289862,3493712,3371913,25000,0.003838,0.003925,0.003413,-0.068853
scaffold_5,3493713,3671453,3613873,25000,0.005133,0.006366,0.005101,-0.06403
scaffold_5,3671454,3724357,3703872,25000,0.000812,0.000832,0.000718,-0.07201
scaffold_5,3724358,3790415,3756884,25000,0.000921,0.001902,0.002197,0.229004
scaffold_5,3790416,3834149,3812036,25000,0.006653,0.005411,0.009418,0.230385
scaffold_5,3834150,3863723,3849760,25000,0.009498,0.006029,0.015185,0.337692
scaffold_6,355543,478173,407317,25000,0.003256,0.002826,0.002669,-0.069843
scaffold_6,478174,604094,537014,25000,0.00261,0.002459,0.002653,0.024327
scaffold_6,604097,698515,641327,25000,0.005985,0.005419,0.006882,0.0994
scaffold_6,698516,863549,747445,25000,0.005147,0.005622,0.004861,-0.054697
scaffold_6,863556,902649,881572,25000,0.002617,0.002667,0.003194,0.100286
scaffold_6,902650,999937,945672,25000,0.002801,0.002492,0.002696,0.008285
scaffold_6,999938,1078989,1054279,25000,0.004873,0.004625,0.004433,-0.036809
scaffold_6,1078990,1184526,1137157,25000,0.003678,0.004219,0.003631,-0.044769
scaffold_6,1184527,1392258,1217620,25000,0.001629,0.001339,0.001489,0.002117
scaffold_6,1392259,1453745,1429729,25000,0.005307,0.001894,0.006011,0.263118
scaffold_6,1453746,1498854,1471377,25000,0.002651,0.003753,0.003141,0.014348
scaffold_6,1498855,1585907,1552015,25000,0.001523,0.002398,0.002729,0.172595
scaffold_6,1585908,1667847,1642432,25000,0.001421,0.002667,0.002259,0.053119
scaffold_6,1667848,1732578,1690917,25000,0.002938,0.003614,0.003689,0.062872
scaffold_6,1732579,1772469,1747780,25000,0.001901,0.002097,0.001865,-0.036053
scaffold_6,1772470,1827162,1797466,25000,0.00193,0.00294,0.002184,-0.058246
scaffold_6,1827163,1858630,1841960,25000,0.001449,0.002862,0.002301,0.034765
scaffold_6,1858631,1939157,1915608,25000,0.001976,0.003521,0.003144,0.062906
scaffold_6,1939158,2087699,2030749,25000,0.000752,0.000735,0.001,0.155075
scaffold_6,2087700,2124108,2106215,25000,0.001812,0.001296,0.001814,0.077113
scaffold_6,2124109,2189946,2154086,25000,0.001626,0.001204,0.001783,0.118498
scaffold_6,2189947,2364391,2282092,25000,0.001384,0.000901,0.001101,-0.027674
scaffold_6,2364392,2423033,2386619,25000,0.001392,0.001156,0.001221,-0.022748
scaffold_6,2423034,2487684,2450683,25000,0.002879,0.001634,0.0019,-0.092117
scaffold_6,2487685,2535250,2513748,25000,0.002622,0.002018,0.002902,0.11488
scaffold_6,2535251,2590338,2567924,25000,0.003018,0.001828,0.003153,0.138289
scaffold_6,2590339,2722382,2620462,25000,0.001555,0.002079,0.001667,-0.045962
scaffold_6,2722383,2758232,2736911,25000,0.0061,0.001717,0.006563,0.265889
scaffold_6,2758233,2858670,2810971,25000,0.002778,0.001442,0.002287,0.034147
scaffold_6,2858671,2942284,2886878,25000,0.001625,0.001841,0.001661,-0.02276
scaffold_6,2942285,3009055,2980227,25000,0.002862,0.002966,0.002788,-0.02355
scaffold_6,3009056,3103833,3052930,25000,0.001501,0.00164,0.002069,0.144769
scaffold_6,3103835,3175033,3154193,25000,0.001897,0.002364,0.002004,-0.032795
scaffold_6,3175034,3263763,3236077,25000,0.001718,0.001485,0.001432,-0.059805
scaffold_6,3263764,3338753,3313058,25000,0.003187,0.000711,0.003795,0.328695
scaffold_6,3338754,3460984,3387619,25000,0.00323,0.001061,0.002216,0.017299
scaffold_6,3460985,3554023,3517761,25000,0.001525,0.001199,0.001233,-0.053046
scaffold_6,3554024,3618198,3590306,25000,0.001449,0.001265,0.001287,-0.02827
scaffold_7,288321,623223,386726,25000,0.0075,0.007306,0.00692,-0.036044
scaffold_7,623224,700864,658556,25000,0.00402,0.004319,0.003684,-0.066233
scaffold_7,700865,754488,725696,25000,0.000286,0.000305,0.000265,-0.058597
scaffold_7,754489,870404,831599,25000,0.004234,0.003619,0.003822,-0.014408
scaffold_7,870405,951287,931948,25000,0.002822,0.002696,0.002813,0.010344
scaffold_7,951288,1088173,1035144,25000,0.003164,0.002906,0.002824,-0.038431
scaffold_7,1088174,1144157,1105572,25000,0.004696,0.005128,0.004338,-0.066508
scaffold_7,1144158,1220780,1185669,25000,0.003269,0.002967,0.002889,-0.040679
scaffold_7,1220781,1373751,1342059,25000,0.007397,0.007995,0.007382,-0.022237
scaffold_7,1373752,1603283,1547137,25000,0.003083,0.003477,0.003003,-0.047206
scaffold_7,1603284,1731314,1679438,25000,0.002788,0.00326,0.003124,0.017431
scaffold_7,1731315,1866390,1831624,25000,0.002988,0.005197,0.005802,0.182216
scaffold_7,1866391,1958217,1917529,25000,0.002687,0.0029,0.003096,0.05458
scaffold_7,1958220,2044185,2015898,25000,0.003284,0.003367,0.00331,-0.002589
scaffold_7,2044186,2149529,2112239,25000,0.001565,0.00212,0.002502,0.160329
scaffold_7,2149530,2302507,2215776,25000,0.005095,0.005197,0.005193,0.004762
scaffold_7,2302508,2800824,2415129,25000,0.003897,0.004445,0.004371,0.024278
scaffold_7,2800825,3092232,2901804,25000,0.008948,0.007835,0.007902,-0.032087
scaffold_7,3092233,3335392,3178740,25000,0.010417,0.009799,0.009135,-0.054125
scaffold_7,3335393,3380101,3359391,17068,0.003763,0.003947,0.003444,-0.060199
scaffold_8,43186,189654,155859,25000,0.001118,0.001119,0.001002,-0.058549
scaffold_8,189655,238170,213171,25000,0.002815,0.002675,0.002717,-0.005315
scaffold_8,238171,271930,253198,25000,0.003486,0.002739,0.003087,-0.004206
scaffold_8,271931,410874,321578,25000,0.001842,0.002337,0.002115,-0.010564
scaffold_8,410875,507528,460505,25000,0.001845,0.001283,0.001397,-0.060489
scaffold_8,507529,601807,536015,25000,0.002143,0.001921,0.002015,-0.004509
scaffold_8,601808,662039,635726,25000,0.002087,0.001877,0.001812,-0.047889
scaffold_8,662040,698762,679257,25000,0.003163,0.001529,0.001988,-0.08563
scaffold_8,698763,740201,719370,25000,0.001278,0.001046,0.000996,-0.082569
scaffold_8,740202,853223,803310,25000,0.001678,0.001753,0.001599,-0.03749
scaffold_8,853224,893603,874600,25000,0.001729,0.001349,0.001623,0.011105
scaffold_8,893604,995077,931073,25000,0.001502,0.001904,0.00166,-0.01378
scaffold_8,995078,1114205,1077991,25000,0.002323,0.0013,0.002147,0.087338
scaffold_8,1114206,1209529,1169680,25000,0.001357,0.001145,0.001254,0.001068
scaffold_8,1209530,1412451,1323291,25000,0.004634,0.004115,0.005327,0.10404
scaffold_8,1412452,1496882,1453948,25000,0.002058,0.002095,0.002027,-0.012844
scaffold_8,1496883,1590009,1534174,25000,0.002819,0.002971,0.002668,-0.043548
scaffold_8,1590010,1666866,1629221,25000,0.002273,0.002386,0.002182,-0.034994
scaffold_8,1666867,1714650,1684247,25000,0.002751,0.003475,0.003931,0.122944
scaffold_8,1714651,1805099,1761467,25000,0.002399,0.003244,0.003009,0.034231
scaffold_8,1805100,1862340,1832728,25000,0.002342,0.001842,0.001917,-0.046573
scaffold_8,1862341,1902841,1881307,25000,0.003168,0.003538,0.003041,-0.052233
scaffold_8,1902842,1952910,1928703,25000,0.001986,0.002484,0.002656,0.09117
scaffold_8,1952911,2140549,2032531,25000,0.000921,0.001222,0.000966,-0.062624
scaffold_8,2140550,2176776,2160188,25000,0.001467,0.001235,0.001195,-0.051075
scaffold_8,2176777,2271696,2222318,25000,0.002225,0.002122,0.002018,-0.039694
scaffold_8,2271697,2382131,2313968,25000,0.001609,0.001841,0.001563,-0.052504
scaffold_8,2382133,2422525,2399032,25000,0.003578,0.002863,0.003249,0.004673
scaffold_8,2422526,2460513,2445739,25000,0.002265,0.002415,0.002242,-0.02293
scaffold_8,2460514,2501107,2479351,25000,0.001428,0.00166,0.001462,-0.037047
scaffold_8,2501108,2596460,2577197,25000,0.001679,0.001606,0.001438,-0.070993
scaffold_8,2596461,2668677,2634718,25000,0.001586,0.001433,0.001421,-0.032243
scaffold_8,2668678,2728197,2696961,25000,0.002042,0.001479,0.001999,0.06552
scaffold_8,2728198,2760478,2742370,25000,0.001869,0.001245,0.001352,-0.075518
scaffold_8,2760480,2805446,2782826,25000,0.003405,0.002219,0.002555,-0.051161
scaffold_8,2805448,2882843,2833844,25000,0.00321,0.001856,0.002483,-0.010652
scaffold_8,2882844,2988583,2943640,25000,0.001984,0.003411,0.005515,0.343117
scaffold_8,2988584,3065058,3024560,25000,0.004237,0.002624,0.003375,-0.008598
scaffold_8,3065064,3115783,3089017,25000,0.003981,0.003554,0.003355,-0.062014
scaffold_8,3115784,3205824,3179653,25000,0.002682,0.003448,0.003131,0.011391
scaffold_8,3205825,3234092,3220056,25000,0.003488,0.002387,0.003782,0.132906
scaffold_8,3234093,3317904,3270461,25000,0.003031,0.002301,0.003071,0.074883
scaffold_8,3317905,3364852,3339774,25000,0.003495,0.003523,0.003556,0.007156
scaffold_9,243,86748,35480,25000,0.00452,0.00406,0.003787,-0.066727
scaffold_9,86749,163994,127174,25000,0.006966,0.008438,0.007609,-0.006468
scaffold_9,163995,348378,243657,25000,0.004652,0.006338,0.005678,0.012979
scaffold_9,348379,675097,569519,25000,0.003798,0.004518,0.006818,0.254358
scaffold_9,675098,926545,804804,25000,0.007454,0.007265,0.008435,0.07228
scaffold_9,926546,1304607,1250032,25000,0.006671,0.00465,0.005442,-0.021046
scaffold_9,1304608,1429225,1358766,25000,0.001939,0.002028,0.001888,-0.026387
scaffold_9,1429226,1701857,1598799,25000,0.002272,0.002436,0.002182,-0.04054
scaffold_9,1701858,1786208,1747756,25000,0.005816,0.005976,0.009006,0.219565
scaffold_9,1786209,1844475,1811489,25000,0.002297,0.001799,0.003001,0.197199
scaffold_9,1844476,2128774,2063627,25000,0.00545,0.00402,0.005928,0.118526
scaffold_9,2128775,2183963,2151816,25000,0.005059,0.00502,0.005138,0.010335
